"","UNIQUE_ID","High_Performer","Protected_Group","Retained","scale","bio_scale","SJ1.score","SJ2.score","SJ3.score","SJ4.score","SJ5.score","SJ6.score","SJ7.score","SJ8.score","SJ9.score","latency","PScale1","PScale2","PScale3","PScale4","PScale5","PScale6","PScale7","PScale8","PScale9","PScale10","PScale11","PScale12","PScale13"
"3028",245011900,0,1,0,-5.6727519781656,0.00767896144254385,-0.331745058615635,0.180214679108811,0.105069144058838,0.00938328374616502,0.0195283973148153,0.0697295574471017,0.0486520924781456,0.0733464753010898,-0.175268761698318,59.2222222222222,4,4,4,3.25,1,4,1,2.5,1,1,1,1,1
"3029",245096497,1,1,1,4.6142303849082,0.0807360518969096,-0.0317977188044307,0.180214679108811,0.105069144058838,0.00938328374616502,0.119082310470903,0.057262845389879,0.00289449124236004,-0.0730077558028678,0.135627171835627,72.3333333333333,3,3.75,4,1.25,3,4,1.25,2,1,1,2.75,1,1.2
"3030",245080138,1,0,1,8.56081700246639,0.102893226916177,0.125814021895194,0.180214679108811,0.019915664942267,-0.106599064831381,0.0195283973148153,-0.188681162334108,0.00347663852804739,0.0733464753010898,0.273474905103578,81.3333333333333,2.25,4,2.75,3.25,1.75,3.33333333333333,1.25,2.75,1,1.25,3,1.5,1.4
"3031",245186001,0,1,1,-0.05370041613994,0.114462867614443,0.125814021895194,-0.00732295582083226,0.193980055278995,-0.0274278672873789,0.0195283973148153,0.0308841431621186,0.00347663852804739,0.0770531466804187,0.273474905103578,51.1111111111111,1.25,4,3.25,2.5,3.75,3.33333333333333,1,2,1,1.25,3.75,1,1.8
"3032",245157096,1,0,1,4.68495013517358,0.0328058399263027,0.190540246803742,-0.0295278093050692,0.224366218008776,0.00739140818196312,0.0195283973148153,0.0308841431621186,0.00347663852804739,-0.0730077558028678,-0.175268761698318,106.333333333333,1.75,3.75,2.5,2.5,1.75,2.83333333333333,1,3.5,1,1,3.5,1.75,2.6
"3033",245084915,0,0,0,-0.165361587390438,0.00931297631948589,-0.0317977188044307,-0.0295278093050692,-0.298426024324185,0.00938328374616502,0.119082310470903,0.0496020199988172,0.0486520924781456,-0.0730077558028678,-0.0576981988450397,55.2222222222222,3,2.75,2.75,1,3.25,3.16666666666667,2,3.5,1.25,1.5,2.5,2.75,3
"3034",245178644,0,1,1,0.110470333395263,-0.1104696575175,-0.0317977188044307,-0.144094909187762,-0.177824934254533,0.0277138569392193,0.119082310470903,0.0697295574471017,0.00347663852804739,-0.0730077558028678,-0.175268761698318,52.5555555555556,3.5,2.75,3.25,1,4,3.5,1.75,2.75,1,1.5,3,1,1.6
"3035",245212456,0,0,0,-11.4547710083315,-0.229683043436492,0.088268947151857,0.180214679108811,-0.27104382779605,-0.0274278672873789,0.119082310470903,0.0697295574471017,0.0421189851117737,-0.0730077558028678,-0.175268761698318,36.3333333333333,1.5,3,2,4,3.25,3.33333333333333,1.5,2.25,1,2.5,3.75,1.25,1.4
"3036",243461648,0,1,0,-12.3967344062751,0.0509983032714776,-0.0317977188044307,-0.0295278093050692,0.193980055278995,-0.0274278672873789,-0.0419923234371015,0.0697295574471017,0.0486520924781456,0.0733464753010898,0.135627171835627,66.5555555555556,3.25,4,4,1,4,4,1,4,1,1,2.5,2.5,1.6
"3037",245108913,1,0,0,2.25519398457667,-0.0952918761815601,0.088268947151857,-0.123004962836159,0.193980055278995,0.00938328374616502,0.119082310470903,0.0308841431621186,0.00347663852804739,-0.0730077558028678,-0.175268761698318,48.2222222222222,3,3.25,2.25,2,1.25,3.16666666666667,1.5,2.75,1.5,1.25,2.25,2,1.2
"3038",122640760,0,0,0,0.220818094807839,0.188974602066196,-0.1485486438502,0.180214679108811,0.193980055278995,0.00938328374616502,0.0195283973148153,0.0308841431621186,0.00347663852804739,0.0153154829883771,-0.0576981988450397,54.5555555555556,4,4,4,1,4,3.66666666666667,1,2,1,1,1,1,1
"3039",124629812,0,0,0,-3.79648827301573,0.100989800545406,-0.143742027347242,0.180214679108811,0.193980055278995,0.0794715033920372,0.0195283973148153,-0.0934144306735347,0.00289449124236004,0.0733464753010898,0.1613607670349,46,3.25,3.25,4,1.5,1,3.33333333333333,1,2.75,1,1,3,1.25,1.4
"3040",245176794,1,1,0,4.26767871385712,0.0299122171765969,-0.1485486438502,0.180214679108811,-0.308766036924631,0.00739140818196312,0.119082310470903,0.0308841431621186,0.0229070770579125,-0.00324446033255262,0.135627171835627,73.7777777777778,2,3,3.5,1.75,3,3,1.5,3,1.25,1.25,2.75,1.75,2
"3041",245172886,0,1,1,0.110470333395263,-0.0943108511167609,-0.338774370801121,-0.00732295582083226,-0.117968845539627,-0.0274278672873789,-0.152292850959183,0.057262845389879,0.0486520924781456,-0.0730077558028678,-0.0576981988450397,39.4444444444444,1.5,3,2.75,2.5,2.5,2.16666666666667,2,3.25,1.5,1.75,2.5,1.25,2.2
"3042",245192490,0,1,0,-0.400252087191017,-0.0916667609327382,-0.143742027347242,-0.0295278093050692,0.105069144058838,0.0277138569392193,0.0195283973148153,-0.104544200337258,0.00347663852804739,0.0770531466804187,-0.175268761698318,157.888888888889,2,3.75,4,2.75,4,3.16666666666667,1.5,2.5,1,1,2.75,1,1.25
"3043",245160492,1,0,1,2.82375458829082,-0.216204769175433,0.088268947151857,0.180214679108811,0.105069144058838,0.00739140818196312,0.0195283973148153,0.0308841431621186,0.0486520924781456,-0.0730077558028678,0.1613607670349,60.4444444444444,2.66666666666667,3.33333333333333,2.75,1.33333333333333,3.25,2.8,1.25,2.25,1,1.5,2,1.75,1.4
"3044",245055476,0,0,0,-1.22821982798995,0.127208211620858,0.125814021895194,0.180214679108811,0.105069144058838,-0.0274278672873789,0.119082310470903,-0.188681162334108,0.00347663852804739,-0.0730077558028678,0.135627171835627,40,4,4,4,1.25,3.25,2.83333333333333,1,1.25,1,1.25,1,1.75,1
"3045",245171417,1,0,1,3.6722669869646,0.138687274094212,-0.338774370801121,-0.123004962836159,0.193980055278995,-0.0782702222235596,-0.131017483284654,-0.188681162334108,0.0558125618011219,0.0733464753010898,0.273474905103578,59.3333333333333,2.5,3.75,2.75,2,1.5,3,2,2,1,1.25,1.75,1,2.2
"3046",245152187,0,1,1,0.168308516523134,-0.00254944308053766,0.125814021895194,-0.0295278093050692,-0.27104382779605,0.00938328374616502,-0.0419923234371015,0.057262845389879,0.0486520924781456,0.0770531466804187,0.135627171835627,43.6666666666667,3.25,4,3.75,1.75,3,3,1.25,2,1.25,1,2,1.5,1.6
"3047",245011133,1,0,1,2.60940874636508,0.168835881616802,-0.0317977188044307,-0.00732295582083226,0.105069144058838,0.0277138569392193,0.0195283973148153,0.0697295574471017,0.0558125618011219,-0.0730077558028678,0.135627171835627,50.5555555555556,2,3.25,3.5,4,2,3.5,1.75,2.5,1,1,1,2,1.8
"3048",245264118,0,0,0,-2.17018322593355,0.0774142476301635,0.088268947151857,-0.0295278093050692,0.105069144058838,0.0277138569392193,0.0195283973148153,0.057262845389879,0.00347663852804739,-0.0730077558028678,NA,NA,4,3.75,3.75,2,3,3.4,1,1,1,1.25,1.33333333333333,1.25,1
"3049",245057756,1,0,0,7.21446375034384,0.0757307586876766,0.125814021895194,0.180214679108811,-0.177824934254533,0.00938328374616502,0.0195283973148153,0.0697295574471017,0.00347663852804739,0.0733464753010898,-0.21570445232357,47.1111111111111,3.5,4,4,1,3,3.33333333333333,1,2.75,1,1,1.25,1.75,1.6
"3050",245202218,1,0,0,4.26767871385712,0.123921063500125,0.088268947151857,0.180214679108811,0.105069144058838,0.00938328374616502,0.119082310470903,-0.188681162334108,0.0486520924781456,0.0770531466804187,-0.0576981988450397,49.4444444444444,3,3,3.5,2.25,1.5,3.5,1,2.25,1,1.25,2,2.25,1.6
"3051",245073612,1,0,0,8.21426533141532,0.00737299003381485,0.088268947151857,0.180214679108811,0.019915664942267,0.00938328374616502,0.119082310470903,0.057262845389879,-0.0997197298364098,-0.0730077558028678,-0.0576981988450397,59.8888888888889,3.5,3,2.75,1,4,3.16666666666667,1.75,2.25,1.25,1,1.75,1,1.6
"3052",245112612,0,0,0,-1.23588291872729,-0.0133481735264576,-0.0317977188044307,-0.0295278093050692,0.019915664942267,-0.0782702222235596,0.0195283973148153,0.0308841431621186,0.00347663852804739,-0.0730077558028678,0.273474905103578,28.7777777777778,2,3.5,2.5,1,1.75,2.83333333333333,1,1,1,2.5,2.75,1.25,1.2
"3053",245206801,1,0,0,3.26787713278565,0.0780414682822072,0.125814021895194,-0.0295278093050692,0.193980055278995,0.123524902704998,0.0195283973148153,0.0697295574471017,0.0486520924781456,0.0770531466804187,0.1613607670349,118.777777777778,3.5,4,4,3.5,4,3.33333333333333,1,1.25,1,1,1.25,1,1.4
"3054",245157471,1,1,0,3.48988606544872,0.170255896412627,-0.1485486438502,0.180214679108811,0.105069144058838,0.00938328374616502,0.119082310470903,0.057262845389879,0.00347663852804739,0.0153154829883771,0.135627171835627,63.4444444444444,3.5,3.75,3,1.75,2.75,2.33333333333333,1.5,2.5,1.5,1.5,1.75,1.25,2.2
"3055",245175642,1,0,1,4.6142303849082,0.179884315343592,0.190540246803742,0.180214679108811,0.105069144058838,0.00739140818196312,0.0195283973148153,0.0308841431621186,0.0486520924781456,0.0153154829883771,0.273474905103578,66.8888888888889,2.5,3.75,3.25,2.25,4,3.33333333333333,1,3.25,1,1,1.5,1,1.6
"3056",245118611,0,0,1,-10.2597069386067,-0.000542452053320531,0.125814021895194,-0.0295278093050692,0.105069144058838,0.00739140818196312,0.119082310470903,0.0697295574471017,0.0486520924781456,0.0770531466804187,-0.0576981988450397,66.3333333333333,2.75,2.5,2.75,2,3,2.5,2,2.25,2,2,2,2.25,2.2
"3057",245191409,1,0,0,7.20158218320634,-0.0985344155668709,0.088268947151857,-0.398078324903488,0.105069144058838,-0.0274278672873789,0.119082310470903,-0.188681162334108,0.00347663852804739,0.0770531466804187,0.1613607670349,42.5555555555556,2.75,4,4,2,1,3.16666666666667,1,3.5,1.25,1,3,2.5,2
"3058",245240221,0,0,0,-0.236081337655814,0.125608005078544,-0.411723260291882,-0.123004962836159,-0.177824934254533,0.00739140818196312,0.119082310470903,-0.111415965035121,0.0421189851117737,0.0733464753010898,-0.0576981988450397,38.6666666666667,3.25,3.75,4,2.5,4,3.5,1,3.5,1,1,2,1.5,2
"3059",245040426,1,1,1,7.54813385425741,0.130251827991458,0.088268947151857,-0.0295278093050692,0.019915664942267,0.00938328374616502,0.119082310470903,0.0697295574471017,-0.0997197298364098,0.0770531466804187,0.135627171835627,64.3333333333333,4,4,4,1,1.75,3.66666666666667,1,3,1,1,1,1.75,1.8
"3060",241492287,1,0,1,3.0586450880914,0.129241459189701,0.190540246803742,0.180214679108811,-0.117968845539627,-0.0274278672873789,0.119082310470903,0.057262845389879,0.00289449124236004,0.0733464753010898,0.135627171835627,82.7777777777778,4,2.75,3,2.75,4,3.33333333333333,2,2.25,2.25,1,1.25,1.5,2
"3061",245106688,1,1,1,8.56081700246639,0.0524844740630238,0.190540246803742,0.180214679108811,-0.296359181077929,0.00938328374616502,0.0195283973148153,-0.188681162334108,0.0486520924781456,0.0733464753010898,0.135627171835627,104.222222222222,2,3.75,3.5,1,2.5,2.5,1,2.75,1,1.25,2.5,3.75,2.6
"3062",245211744,1,0,0,3.19715738252027,0.1210103355863,-0.0317977188044307,0.180214679108811,0.019915664942267,0.00938328374616502,0.0195283973148153,-0.104544200337258,0.0486520924781456,-0.0730077558028678,0.135627171835627,42.1111111111111,3,2.75,3.25,2.75,3.75,3.5,1.25,1.25,1,1.5,3,1,1.4
"3063",245107916,1,1,1,4.6142303849082,-0.0753761593067612,0.088268947151857,0.180214679108811,0.193980055278995,0.0794715033920372,0.0195283973148153,0.0308841431621186,0.0486520924781456,-0.0730077558028678,0.135627171835627,81.3333333333333,2,3.75,3.5,1,3.25,3.33333333333333,1.25,2.25,1,1.5,2.75,2.5,2
"3064",245073307,1,0,1,4.6142303849082,0.0768900361380825,0.125814021895194,-0.123004962836159,-0.117968845539627,NA,0.0195283973148153,0.0308841431621186,0.0486520924781456,0.0770531466804187,-0.175268761698318,NA,2.5,3.75,3,1.5,4,3.83333333333333,1.5,2.5,1,1,2.5,1,1.2
"3065",245026667,0,0,0,-2.17018322593355,-0.0768489498914593,0.088268947151857,-0.123004962836159,0.105069144058838,0.00938328374616502,0.0195283973148153,0.0308841431621186,0.0558125618011219,-0.0730077558028678,0.1613607670349,32.6666666666667,3,3,3.25,2,1,3.33333333333333,2.25,2.75,1.75,1.25,2.25,2,2.2
"3066",245095994,1,0,1,4.6142303849082,0.0964237258424297,-0.1485486438502,0.180214679108811,0.105069144058838,0.00739140818196312,0.0195283973148153,0.057262845389879,-0.0997197298364098,-0.0730077558028678,-0.0576981988450397,51.2222222222222,3,2.75,2.5,3,2.25,2.66666666666667,2.75,3.25,2.5,1.75,2.25,2.5,2
"3067",245059668,0,0,0,-1.34221548513462,0.00193951558343037,0.125814021895194,-0.135979512919568,-0.117968845539627,-0.106599064831381,0.119082310470903,0.057262845389879,0.00347663852804739,0.0770531466804187,0.1613607670349,164.777777777778,3.5,2.25,3.25,2.75,3,2.83333333333333,2.25,3.25,1.75,1.5,2.25,1.5,1.2
"3068",245215896,1,1,0,5.20197902106339,-0.0607029106496148,-0.0317977188044307,-0.134892008742598,-0.177824934254533,0.00938328374616502,-0.0419923234371015,0.0697295574471017,0.00347663852804739,0.0733464753010898,-0.21570445232357,126.555555555556,1.5,2.75,4,2,2.5,2.83333333333333,1.75,2.75,1.75,2,4,2,1.8
"3069",245195315,0,1,0,-2.17018322593355,-0.193365196587904,-0.331745058615635,-0.395892795585364,-0.177824934254533,0.0277138569392193,-0.24293555063138,0.0697295574471017,0.0486520924781456,-0.436808950440348,0.1613607670349,74.6666666666667,1.5,4,4,2.66666666666667,3,4,2,2.33333333333333,1.33333333333333,1,3.5,1,1.75
"3070",245211641,1,0,0,8.21426533141532,0.0924718074491239,0.088268947151857,-0.00732295582083226,0.105069144058838,0.00938328374616502,0.119082310470903,0.0308841431621186,0.0421189851117737,0.0770531466804187,-0.0576981988450397,56.2222222222222,3.25,4,3.75,1.5,4,3.66666666666667,1,2,1,1,1.5,1,1
"3071",245064474,0,1,0,-12.3967344062751,0.156251636820671,-0.338774370801121,0.180214679108811,0.019915664942267,0.0277138569392193,-0.152292850959183,-0.483029509985569,0.0421189851117737,-0.0730077558028678,-0.175268761698318,1318.55555555556,4,4,4,1,4,4,1,1.75,1,1,1,1,1
"3072",245139695,1,0,0,6.20178060213486,0.075811416073892,-0.331745058615635,-0.00732295582083226,0.105069144058838,0.00739140818196312,-0.152292850959183,-0.406635941744661,0.00347663852804739,0.0733464753010898,0.1613607670349,83.4444444444444,1,3,2.5,3,3,3,1.75,1.25,1,2.25,2,2.25,1.8
"3073",245138977,0,1,1,-3.54338760123448,0.0973072524492506,-0.0317977188044307,-0.398078324903488,0.105069144058838,0.00739140818196312,-0.131017483284654,-0.111415965035121,0.00347663852804739,0.0770531466804187,0.0821532023064181,62.5555555555556,2.5,3.25,4,1.75,1.75,3,1,3,1.25,1.25,1.75,2,2.2
"3074",245220117,1,1,0,4.20984053072925,0.0920946096693618,0.190540246803742,-0.134892008742598,0.019915664942267,0.00938328374616502,0.119082310470903,0.0697295574471017,0.0486520924781456,-0.0730077558028678,-0.175268761698318,22.3333333333333,4,4,4,1,3,3,1,2.75,1,1.25,3.25,1,1.6
"3075",245186625,0,0,1,-1.82363155488248,0.0258697760302698,0.088268947151857,0.180214679108811,0.105069144058838,0.0277138569392193,0.119082310470903,0.0697295574471017,0.00347663852804739,0.0770531466804187,-0.175268761698318,46,1.75,3.25,3.25,3.25,4,3,1,3.25,1,1.5,4,1.75,1
"3076",245180079,0,1,1,-1.7657933717546,0.124431524914511,-0.1485486438502,-0.395892795585364,0.193980055278995,0.00739140818196312,0.0195283973148153,-0.406635941744661,-0.535259503287983,0.0733464753010898,-0.21570445232357,58.6666666666667,1.75,3.5,4,2.25,2.5,3.66666666666667,1,3.25,1,1,1,1.75,2.4
"3077",245096734,0,1,0,-0.178243154527942,0.0598397811738901,-0.0317977188044307,-0.134892008742598,-0.177824934254533,0.00938328374616502,0.119082310470903,0.057262845389879,0.00347663852804739,-0.0730077558028678,-0.175268761698318,65.4444444444444,3.5,3.25,2.75,1.25,3.75,3,1,2.5,1,1.5,2.25,1.75,1.4
"3078",245185770,1,1,1,4.66440547729873,0.112490834643475,-0.1485486438502,-0.398078324903488,0.105069144058838,-0.0274278672873789,-0.131017483284654,0.0308841431621186,0.0486520924781456,0.0153154829883771,0.1613607670349,84.8888888888889,2.75,3.75,3.25,1,2.5,3.83333333333333,1.5,2.25,2,1,2,1.25,1.4
"3079",245208538,1,0,0,6.20178060213486,0.154072650932256,0.088268947151857,0.180214679108811,0.019915664942267,0.0277138569392193,-0.152292850959183,0.0308841431621186,0.00347663852804739,0.0153154829883771,-0.175268761698318,123.333333333333,4,3,3.25,2,4,3.66666666666667,1.25,3.5,1,1,1,2.25,1.8
"3080",245018082,1,1,1,2.89447433855619,0.0908430164119802,0.125814021895194,0.180214679108811,0.019915664942267,-0.0782702222235596,-0.131017483284654,0.0308841431621186,0.0486520924781456,-0.0730077558028678,-0.0576981988450397,97.6666666666667,4,4,4,1.75,4,3,1,2.25,1,1,2.25,1,1
"3081",245125102,1,0,1,8.56081700246639,0.178326120288531,0.190540246803742,0.180214679108811,0.019915664942267,0.00938328374616502,-0.131005035208603,0.0697295574471017,0.0558125618011219,-0.0730077558028678,0.273474905103578,51.1111111111111,3.5,3.75,3.25,1.5,4,3.33333333333333,1,1.25,1,1.25,2,1,1.4
"3082",245081171,0,0,1,-5.39170158097973,-0.0742270572163859,-0.1485486438502,0.180214679108811,0.224366218008776,0.00739140818196312,0.119082310470903,0.057262845389879,0.00347663852804739,-0.0730077558028678,-0.0576981988450397,72.4444444444444,4,3.5,3.75,1,3,2.83333333333333,1.25,2.5,1.25,1,1,2.5,1.8
"3083",245251342,1,0,0,6.20178060213486,0.163212265046974,0.125814021895194,0.180214679108811,0.105069144058838,-0.0782702222235596,0.0195283973148153,0.057262845389879,0.00347663852804739,0.0733464753010898,-0.0576981988450397,73.4444444444444,3,4,3.5,2.25,3,3.33333333333333,1.25,3,1,1,2.25,2.25,2.4
"3084",126443970,0,0,1,-1.82363155488248,0.0825189413591671,-0.338774370801121,-0.0295278093050692,0.193980055278995,0.00739140818196312,0.119082310470903,0.0496020199988172,0.00347663852804739,0.0770531466804187,-0.0576981988450397,41.4444444444444,4,4,4,1,4,3.83333333333333,1,2,1.25,1,1.75,1,1.4
"3085",245080808,0,0,1,-1.5887410550819,-0.149089557401939,0.190540246803742,0.180214679108811,-0.27104382779605,0.00739140818196312,0.0195283973148153,0.0308841431621186,0.00347663852804739,0.0733464753010898,-0.0576981988450397,27.6666666666667,2,2.75,2.25,3,1.75,2.66666666666667,1.75,2.75,1.75,2,3,2.5,2.2
"3086",245166536,0,1,1,-1.82363155488248,0.0393682725925803,-0.0317977188044307,0.180214679108811,0.019915664942267,-0.0274278672873789,0.0195283973148153,-0.188681162334108,0.00347663852804739,0.0770531466804187,0.273474905103578,39.8888888888889,4,2.5,3.25,1,1.75,4,1,1.75,1,1,1,1.5,1.2
"3087",245151140,0,1,1,-1.82363155488248,-0.1108952579537,0.088268947151857,-0.372044268688521,-0.296359181077929,0.00938328374616502,0.119082310470903,0.057262845389879,0.0486520924781456,0.0770531466804187,-0.175268761698318,21.1111111111111,4,3.5,4,1,4,3.16666666666667,1,3.5,1,1,1,1,2
"3088",245051626,0,0,1,-0.0460373254026,0.108733367238782,-0.0317977188044307,0.180214679108811,0.193980055278995,0.0277138569392193,0.119082310470903,0.0308841431621186,0.00347663852804739,0.0733464753010898,0.135627171835627,71.1111111111111,4,4,3.25,1.5,3.25,3.66666666666667,1,1,1,1,1,1,1
"3089",245247430,0,0,0,-0.178243154527942,0.122659091728922,0.088268947151857,0.180214679108811,0.019915664942267,-0.0782702222235596,0.0195283973148153,0.0697295574471017,0.00347663852804739,0.0733464753010898,-0.0576981988450397,60.5555555555556,3.75,3.5,3.75,2,3.75,3.5,1.75,3,1,1,1.5,2,2.2
"3090",245086737,0,1,1,-3.83611628416293,-0.046003161436833,0.088268947151857,-0.134892008742598,0.105069144058838,0.00938328374616502,0.0195283973148153,0.0697295574471017,0.00347663852804739,0.0733464753010898,-0.0576981988450397,90.7777777777778,2.5,3.25,2.75,1.25,1,3,1.5,2.25,1,1.25,3.5,1.75,1.6
"3091",245101296,1,0,1,3.8364377364998,0.147060963984373,-0.143742027347242,-0.0295278093050692,0.105069144058838,0.00938328374616502,0.119082310470903,0.057262845389879,0.00347663852804739,-0.0730077558028678,0.135627171835627,109.777777777778,1.5,4,3.75,2.25,4,3,1,2.5,1,1,2.25,1,1.2
"3092",245027640,1,0,0,8.21426533141532,0.00949609816295133,-0.0317977188044307,-0.00732295582083226,0.193980055278995,0.00739140818196312,-0.435788590387376,0.057262845389879,0.0486520924781456,0.0733464753010898,0.1613607670349,86,1.25,3.25,2.5,3.75,2.5,3,1.25,1.25,1.75,1,3.25,1,2.4
"3093",245155953,1,0,0,3.26787713278565,0.0352916821455297,-0.0317977188044307,-0.0295278093050692,-0.117968845539627,0.00739140818196312,0.119082310470903,0.0308841431621186,0.0486520924781456,0.0153154829883771,0.1613607670349,32.5555555555556,3.75,2.75,3.75,2.5,1.75,3.66666666666667,1.75,1.75,1,1.25,2.25,1,2.8
"3094",244955081,0,0,1,-1.82363155488248,0.113864012895011,0.125814021895194,0.180214679108811,-0.117968845539627,-0.0782702222235596,0.119082310470903,0.0697295574471017,0.0486520924781456,0.0153154829883771,-0.0576981988450397,47.1111111111111,4,4,4,1,1,3.66666666666667,1,4,1,1,1,1,2.8
"3095",245268987,0,1,0,-2.17018322593355,-0.224288246994436,-0.143742027347242,-0.144094909187762,-0.308766036924631,0.0277138569392193,0.119082310470903,-0.111415965035121,-0.0997197298364098,-0.436808950440348,-0.143782005780726,49.6666666666667,2.5,2.75,2.25,2,2.5,2.5,2.5,2.5,2.75,2,2.25,2.25,2.4
"3096",245007283,0,1,1,-1.82363155488248,0.142074499156642,0.125814021895194,-0.00732295582083226,-0.117968845539627,0.0277138569392193,0.119082310470903,0.0697295574471017,0.0486520924781456,0.0770531466804187,0.1613607670349,329.111111111111,4,3.25,4,1,2.5,3.83333333333333,1,1,3.25,1,1,1,1
"3097",245133678,1,0,1,5.5561937828518,-0.0125772420024937,-0.41438433197597,-0.0295278093050692,0.105069144058838,0.00938328374616502,0.0195283973148153,-0.104544200337258,0.0486520924781456,-0.0730077558028678,-0.0576981988450397,48.1111111111111,1.5,3.5,1.25,1,2,2.33333333333333,1.5,3.75,1,2.5,2.5,1.75,2
"3098",244978068,1,0,1,5.5561937828518,0.0565307349959903,0.088268947151857,-0.0295278093050692,0.105069144058838,0.00938328374616502,0.0195283973148153,0.0697295574471017,0.00347663852804739,-0.0730077558028678,0.1613607670349,90.3333333333333,4,4,4,2.5,4,4,1.75,3.25,1,1,1,1,2.2
"3099",244962417,1,0,1,2.88681124781886,0.130456966248073,0.088268947151857,0.180214679108811,0.019915664942267,0.00739140818196312,-0.152292850959183,0.0308841431621186,0.00347663852804739,-0.711218882482436,0.273474905103578,42,4,3.5,3.25,2,1.75,3.83333333333333,1,3.25,1,1.25,2.75,1,1.6
"3100",245195349,0,0,0,-3.2407045572704,0.0343022620047728,0.088268947151857,0.180214679108811,-0.177824934254533,0.00938328374616502,-0.152292850959183,0.0697295574471017,0.0486520924781456,0.0733464753010898,-0.0576981988450397,54.5555555555556,2,2.75,1.75,3,1.5,3.16666666666667,1.75,2.5,1.25,2,3,2.25,2.4
"3101",245123725,0,0,1,-0.881668156938872,0.0150681922327516,0.190540246803742,0.180214679108811,0.193980055278995,0.00938328374616502,0.0195283973148153,0.0308841431621186,0.0486520924781456,0.0770531466804187,-0.0576981988450397,27.1111111111111,2,3.25,2,1.25,2.5,3,2.5,2,2.25,1.75,3.75,1,1.8
"3102",245139435,0,0,0,-12.3967344062751,0.0702866609814881,-0.0317977188044307,-0.479162720779084,0.019915664942267,0.00938328374616502,0.119082310470903,0.0308841431621186,0.00347663852804739,-0.0730077558028678,-0.0576981988450397,85,1.75,4,4,1.5,2.5,3.33333333333333,1,3.5,1,1.25,4,1,1.6
"3103",240769012,1,0,0,3.26787713278565,0.130939103747275,-0.0317977188044307,-0.135979512919568,0.193980055278995,0.0277138569392193,0.0195283973148153,0.0697295574471017,0.0558125618011219,0.0770531466804187,0.135627171835627,59.6666666666667,2.75,3.5,3.25,2,4,3.5,1,1.75,1,1,2,1.25,1.6
"3104",245235643,1,0,0,3.25499556564814,0.132136036419273,0.190540246803742,-0.00732295582083226,0.105069144058838,0.00938328374616502,-0.0419923234371015,0.0308841431621186,0.0558125618011219,-0.0730077558028678,0.273474905103578,64.8888888888889,2.5,4,3.25,1,4,4,1,1,1,1,2.5,1,1
"3105",245054466,1,1,1,5.54853069211446,-0.00301013077968795,0.088268947151857,0.180214679108811,0.019915664942267,0.00739140818196312,-0.0419923234371015,0.0308841431621186,0.0486520924781456,0.0770531466804187,0.1613607670349,33.7777777777778,1,4,4,1.5,4,2.83333333333333,1,3.25,1,1,3,1,2.2
"3106",245011396,0,0,1,-3.54338760123448,0.160832567717811,-0.143742027347242,0.180214679108811,0.193980055278995,0.00739140818196312,0.0195283973148153,-0.483029509985569,0.0486520924781456,-0.0730077558028678,0.1613607670349,62.3333333333333,2.25,3.75,3.25,2,3.66666666666667,2.33333333333333,1.5,2.25,1.25,1,2.75,2.5,2
"3107",245096622,0,0,1,-10.2597069386067,-0.0377347849168662,0.125814021895194,-0.135979512919568,0.019915664942267,-0.0274278672873789,0.0195283973148153,0.057262845389879,0.00347663852804739,0.0770531466804187,-0.0576981988450397,45.7777777777778,2.5,4,4,4,1,3,1,4,1,1,4,4,1
"3108",245124592,0,0,0,-3.96065902255093,-0.0399612510065164,-0.0317977188044307,0.180214679108811,0.019915664942267,0.00938328374616502,-0.0419923234371015,0.0697295574471017,0.00347663852804739,0.0733464753010898,-0.0576981988450397,40.6666666666667,2.5,3.25,4,1.25,4,3.83333333333333,1.25,2.25,1,1,3.25,1.25,1.4
"3109",245160048,1,1,0,3.48988606544872,-0.132961833544709,0.088268947151857,-0.00732295582083226,0.019915664942267,0.00938328374616502,0.0195283973148153,0.0308841431621186,0.00347663852804739,0.0770531466804187,0.135627171835627,30.5555555555556,3,3.5,3.25,3,3.25,3.33333333333333,1.5,2,1,2,3.33333333333333,1.75,1
"3110",244953412,1,0,0,5.44453261160131,-0.00428169810342073,NA,NA,0.019915664942267,0.00739140818196312,0.119082310470903,0.0697295574471017,0.00347663852804739,0.0153154829883771,-0.0576981988450397,NA,2,4,2.5,2.25,4,4,1,2.5,1,1,1.25,1.75,NA
"3111",245082243,0,0,1,-1.04583890647407,0.171185344932818,0.190540246803742,0.180214679108811,0.105069144058838,0.0305488045356784,0.0195283973148153,0.0697295574471017,0.00347663852804739,-0.0730077558028678,0.273474905103578,25.5555555555556,4,4,4,1,4,4,1,2.5,1,1,1,1.75,1.6
"3112",245032752,0,0,0,-0.178243154527942,0.124198422348985,0.125814021895194,0.180214679108811,-0.117968845539627,0.0305488045356784,0.119082310470903,0.0697295574471017,0.00347663852804739,0.0770531466804187,0.1613607670349,43,3,3.5,3.75,1.75,2.5,2.6,2,2,1,1,1.75,1.75,2.2
"3113",245037406,0,0,1,-1.82363155488248,-0.116389354197998,-0.432689695382241,-0.135979512919568,0.019915664942267,0.0277138569392193,0.0195283973148153,0.0308841431621186,-0.273482857113636,0.0153154829883771,0.1613607670349,8.11111111111111,4,4,4,1,3.25,3.5,1,1,1,1,1,1,1
